N,strategy,HND_mean,HND_std,LND_censored_rate,window,matched_Psi_max,n_reached_window
30,eqopt,402.93333333333334,94.84157215864681,0.0,156,0.0303177278528303,15
30,greedy,277.53333333333336,111.56091652204233,0.06666666666666667,156,0.0415554538848655,15
30,mincost,412.2,187.9195116456587,0.8,156,0.0347458546612792,15
30,random,219.13333333333333,86.5075278860307,0.0,156,0.0496916346951204,15
30,static,365.4,174.04588885857498,0.8666666666666667,156,0.0362034697620867,15
60,eqopt,315.1333333333333,96.85767663850669,0.06666666666666667,236,0.0589537696195763,15
60,greedy,210.6,78.10048472503685,0.13333333333333333,236,0.0544899006550029,15
60,mincost,319.46666666666664,137.88445818700458,1.0,236,0.0512258085395908,15
60,random,168.33333333333334,63.8387104536186,0.0,236,0.0694646437968392,15
60,static,310.73333333333335,147.81478114116166,1.0,236,0.0511619521152148,15
100,eqopt,209.86666666666667,56.534271106328156,0.6666666666666666,362,0.0649965846043325,15
100,greedy,141.46666666666667,44.21031984675502,0.13333333333333333,362,0.0532897427364923,15
100,mincost,216.8,77.60173046671429,1.0,362,0.0560198552488266,15
100,random,125.93333333333334,52.92240501319788,0.0,362,0.0632129162217923,15
100,static,216.8,77.60173046671429,1.0,362,0.0560899634334219,15
200,eqopt,142.46666666666667,48.08009191022036,1.0,990,0.0809412773858068,15
200,greedy,116.33333333333333,36.30164629613268,0.9333333333333333,990,0.0731149682170152,15
200,mincost,161.53333333333333,81.92232093066373,1.0,990,0.0765883133251974,15
200,random,55.0,19.07503978651533,0.0,990,0.0849973592453064,15
200,static,159.2,83.99761901387443,1.0,990,0.0762526102100819,15
500,eqopt,74.0,29.715315916207253,1.0,1538,0.1288325841747649,15
500,greedy,79.53333333333333,32.1577954705202,1.0,1538,0.1271388707828018,15
500,mincost,81.13333333333334,33.00620432296819,1.0,1538,0.1278259780000736,15
500,random,40.4,15.041846391222814,0.13333333333333333,1538,0.1297846972369015,15
500,static,80.8,33.50948692961016,1.0,1538,0.1271599617187623,15
