N,strategy,window,matched_Psi_max,n_reached_window
30,static,156,0.0362034697620867,15
30,random,156,0.04969163469512043,15
30,greedy,156,0.04155545388486555,15
30,mincost,156,0.034745854661279295,15
30,eqopt,156,0.03031772785283031,15
60,static,236,0.05116195211521481,15
60,random,236,0.06946464379683928,15
60,greedy,236,0.05448990065500298,15
60,mincost,236,0.051225808539590835,15
60,eqopt,236,0.058953769619576366,15
100,static,362,0.056089963433421944,15
100,random,362,0.06321291622179234,15
100,greedy,362,0.05328974273649233,15
100,mincost,362,0.05601985524882661,15
100,eqopt,362,0.06499658460433258,15
200,static,990,0.07625261021008195,15
200,random,990,0.0849973592453064,15
200,greedy,990,0.07311496821701527,15
200,mincost,990,0.07658831332519742,15
200,eqopt,990,0.08094127738580689,15
500,static,1538,0.1271599617187623,15
500,random,1538,0.12978469723690156,15
500,greedy,1538,0.12713887078280187,15
500,mincost,1538,0.1278259780000736,15
500,eqopt,1538,0.1288325841747649,15
