FND,HND,LND,AUC_Psi,AUC_PsiN,Psi_max,Rh_mean,hole_events,partition_events,n_reconfigs,n_local,n_global,mean_dPsi_per_reconfig,N,E0,strategy,seed
135,800,800,43.122773927495295,99.12846597808421,0.06783408262885976,0.9760462871308013,800,0,0,0,0,0.0,30,1.0,static,0
151,800,800,43.43538794242687,115.69158235722459,0.07915357345266255,0.9468498955156143,800,0,0,0,0,0.0,30,1.0,static,1
230,800,800,33.04240847916842,77.73758065192321,0.05821274899296523,0.9416197940566843,800,0,0,0,0,0.0,30,1.0,static,2
116,194,299,22.041088876167134,52.29810912936365,0.1305460665194113,0.8900673399134083,145,5,156,16,140,0.00019564806038988982,30,1.0,random,0
120,123,186,13.005338148808313,28.07204737029747,0.14074255445612965,0.8125621658454665,55,5,71,17,54,0.0006070610317883006,30,1.0,random,1
198,320,800,76.55928057317023,347.56234206622344,0.12456078125278792,0.7722619682208741,39,6,59,22,37,0.0001921417772634907,30,1.0,random,2
68,239,513,42.75377240357804,122.16665263284541,0.11551258681872127,0.976264096138418,373,6,389,21,368,0.0001414941617501281,30,1.0,greedy,0
76,239,272,17.20459841171039,43.801936442470655,0.11787171373399116,0.894854760917692,161,6,184,28,156,0.00031645337331896175,30,1.0,greedy,1
115,368,800,58.10251603561511,428.5701961150496,0.09074031202789362,0.9004006853139112,658,7,673,23,650,6.660534558415849e-05,30,1.0,greedy,2
108,193,800,71.52466682515657,179.63947573779362,0.1156386110283703,0.8508079438727607,512,5,522,14,508,0.0001185776977693822,30,1.0,mincost,0
76,270,800,76.79952453433816,245.3096142019291,0.13208996405029494,0.8842442543855842,489,7,500,17,483,0.00012702104814401227,30,1.0,mincost,1
115,411,800,60.74083682990067,179.40080797992402,0.11137926535884107,0.8715250697434429,594,6,603,14,589,9.12730248918834e-05,30,1.0,mincost,2
293,366,800,57.90442081460979,178.42131657367815,0.11956753135815822,0.6870268195580722,35,4,50,15,35,0.00031154775873093026,30,1.0,eqopt,0
176,370,800,64.78938333620201,181.41293275049566,0.1261385086683385,0.7032550335640289,19,5,36,17,19,0.00024204056379197438,30,1.0,eqopt,1
258,512,800,50.85301669540209,158.9937123851153,0.10210998988920163,0.6788191010124817,16,4,31,15,16,0.00014783144324764487,30,1.0,eqopt,2
97,800,800,39.04747783860655,87.70397254849743,0.0640345835833023,0.9626011907726257,756,0,0,0,0,0.0,60,1.0,static,0
98,800,800,39.62327640286725,89.52749426508726,0.06488120374879588,0.8506730536354375,628,0,0,0,0,0.0,60,1.0,static,1
92,800,800,37.04152252403288,78.59538628941965,0.05986586829574013,0.9265804913704783,737,0,0,0,0,0.0,60,1.0,static,2
52,129,568,59.325104160976146,135.0861625223294,0.1395242928251176,0.7294498167395532,51,8,79,29,50,0.00029971204317146173,60,1.0,random,0
47,114,406,48.144587933087955,128.49383974288926,0.15950546487241712,0.7627543040704167,59,10,101,41,60,0.0012080042347051673,60,1.0,random,1
