FND,HND,LND,AUC_Psi,AUC_PsiN,Psi_max,Rh_mean,hole_events,partition_events,n_reconfigs,n_local,n_global,mean_dPsi_per_reconfig,N,E0,strategy,seed
48,800,800,9.56939469961925,193.09453469877297,0.01600672004615915,0.8106280557054424,400,0,0,0,0,0.0,60,0.5,static,0
49,800,800,9.44470535092148,212.48500040481613,0.016220300937198937,0.7384623845532243,388,0,0,0,0,0.0,60,0.5,static,1
46,800,800,9.185560781669286,166.69293543142092,0.01496646707393488,0.7396964514405505,368,0,0,0,0,0.0,60,0.5,static,2
33,107,375,11.252677301503484,136.39869444279873,0.039607319431211215,0.7831904599165557,79,12,118,43,75,0.00014210014083121348,60,0.5,random,0
23,108,247,6.900952517102341,101.24649222430696,0.03456859856280154,0.7799264797864782,49,12,95,50,45,0.00036012691305014087,60,0.5,random,1
36,75,428,11.889946073438123,138.92904700859467,0.04148422833628937,0.7591910953928737,61,15,123,59,64,0.00023794452309072592,60,0.5,random,2
22,86,565,18.786911506664442,376.0646244464311,0.037266407818024025,0.9072792592459452,541,19,611,85,526,6.688981009176707e-05,60,0.5,greedy,0
25,145,332,8.47236596681084,187.68494531013448,0.0319156777176216,1.0339217874028825,231,19,286,73,213,0.0001083219263609181,60,0.5,greedy,1
23,53,800,24.79802471783871,351.9286881108535,0.03302177557051324,0.7112984801064017,69,9,107,46,61,0.00031814954906592504,60,0.5,greedy,2
24,48,800,22.47178207020292,219.80001539214257,0.04222109802588054,0.696605644782604,236,8,352,33,319,7.585964153999302e-05,60,0.5,mincost,0
25,72,800,23.216420799850727,258.3910375741792,0.04288671811109191,0.7355129754219625,156,9,346,36,310,6.55027739799898e-05,60,0.5,mincost,1
23,85,800,19.859280675049558,190.6009695288342,0.03557596255031493,0.6991335907960468,196,8,224,34,190,9.281327632782673e-05,60,0.5,mincost,2
56,125,786,23.87430387152371,271.2971869992712,0.04250387231595738,0.732477536320201,74,9,287,43,244,8.467381573860882e-05,60,0.5,eqopt,0
51,117,659,19.85859148909728,224.66082519336373,0.04212731224057061,0.7280489597009783,86,11,208,45,163,0.00012143415549887699,60,0.5,eqopt,1
47,139,800,21.322470250426626,254.636325538716,0.04360846193532955,0.7016729363438817,111,13,172,42,130,0.00011285607047393733,60,0.5,eqopt,2
97,800,800,39.04747783860655,87.70397254849743,0.0640345835833023,0.9626011907726257,756,0,0,0,0,0.0,60,1.0,static,0
98,800,800,39.62327640286725,89.52749426508726,0.06488120374879588,0.8506730536354375,628,0,0,0,0,0.0,60,1.0,static,1
92,800,800,37.04152252403288,78.59538628941965,0.05986586829574013,0.9265804913704783,737,0,0,0,0,0.0,60,1.0,static,2
52,129,568,59.325104160976146,135.0861625223294,0.1395242928251176,0.7294498167395532,51,8,79,29,50,0.00029971204317146173,60,1.0,random,0
47,114,406,48.144587933087955,128.49383974288926,0.15950546487241712,0.7627543040704167,59,10,101,41,60,0.0012080042347051673,60,1.0,random,1
86,87,800,63.79661358413689,128.42170886817712,0.11652290217280178,0.6766639597492601,36,5,57,22,35,0.00047222484486557066,60,1.0,random,2
44,184,800,98.06610351251413,348.18693242183815,0.14310462326941825,0.8906903612082879,353,15,415,74,341,0.00027733315785237684,60,1.0,greedy,0
49,226,798,81.23185638063818,379.24655147772086,0.1332560588014071,0.94091045849611,426,16,477,69,408,0.0001811028100976023,60,1.0,greedy,1
45,163,800,84.22618642629094,235.90870738209443,0.12595297483889537,0.8585554734383544,447,6,481,41,440,0.00019876310354471734,60,1.0,greedy,2
49,106,800,68.06315793611947,139.57094263489338,0.11501024894040997,0.7935839705384722,484,8,510,33,477,0.0001461507926681416,60,1.0,mincost,0
49,151,800,67.86615290885673,148.82861693103095,0.11718289114335431,0.8077041786775774,327,9,356,36,320,0.00017437203749263118,60,1.0,mincost,1
46,181,800,60.32904526984872,117.37451141884442,0.10282665775984948,0.8362786380833485,406,8,434,34,400,0.00014532065586237995,60,1.0,mincost,2
127,262,800,66.81497296827263,138.3838771016525,0.11602551567675176,0.6202371092172921,27,6,58,32,26,0.0007689378878106191,60,1.0,eqopt,0
106,235,800,80.19051377415248,195.2329335462547,0.135803949481911,0.7095443892295211,73,9,109,38,71,0.0004584641660085226,60,1.0,eqopt,1
102,335,800,55.59547072959092,111.99232133511723,0.10401949316059807,0.654894612841742,23,7,56,34,22,0.000509149229355281,60,1.0,eqopt,2
194,800,800,116.80005784224703,45.28577777258899,0.22664603238247918,0.9982413274568909,800,0,0,0,0,0.0,60,2.0,static,0
197,800,800,121.15277582899066,48.8070315627216,0.25399184376445366,0.9918228810888924,800,0,0,0,0,0.0,60,2.0,static,1
184,800,800,108.64541140896296,41.43229653229132,0.22953797217336375,0.9901611409490743,800,0,0,0,0,0.0,60,2.0,static,2
82,221,800,376.0812270882934,192.7678331576723,0.6041917248529198,0.6530063675750187,42,7,76,16,60,0.0012489882258727362,60,2.0,random,0
92,333,649,268.68260763426684,161.00286162838987,0.5900600103117005,0.7794611825728095,93,12,140,50,90,0.001095036969483815,60,2.0,random,1
160,444,800,278.4267755506441,157.35452156359185,0.4732745273680043,0.7277689342542436,52,10,99,48,51,0.0014799005541128558,60,2.0,random,2
88,300,800,283.292809551206,158.0579207107084,0.45841118916572704,0.9556530244138405,666,8,706,44,662,0.0003616471239145359,60,2.0,greedy,0
99,583,800,272.5191662814061,186.02826394634036,0.5726077454451001,0.8642075064629136,422,11,459,49,410,0.0006515351812283706,60,2.0,greedy,1
