FND,HND,LND,AUC_Psi,AUC_PsiN,Psi_max,Rh_mean,hole_events,partition_events,n_reconfigs,n_local,n_global,mean_dPsi_per_reconfig,N,E0,strategy,seed,sink_topology
97,800,800,39.04747783860655,87.70397254849743,0.0640345835833023,0.9626011907726257,756,0,0,0,0,0.0,60,1.0,static,0,center
98,800,800,39.62327640286725,89.52749426508726,0.06488120374879588,0.8506730536354375,628,0,0,0,0,0.0,60,1.0,static,1,center
92,800,800,37.04152252403288,78.59538628941965,0.05986586829574013,0.9265804913704783,737,0,0,0,0,0.0,60,1.0,static,2,center
52,129,568,59.325104160976146,135.0861625223294,0.1395242928251176,0.7294498167395532,51,8,79,29,50,0.00029971204317146173,60,1.0,random,0,center
47,114,406,48.144587933087955,128.49383974288926,0.15950546487241712,0.7627543040704167,59,10,101,41,60,0.0012080042347051673,60,1.0,random,1,center
86,87,800,63.79661358413689,128.42170886817712,0.11652290217280178,0.6766639597492601,36,5,57,22,35,0.00047222484486557066,60,1.0,random,2,center
44,184,800,98.06610351251413,348.18693242183815,0.14310462326941825,0.8906903612082879,353,15,415,74,341,0.00027733315785237684,60,1.0,greedy,0,center
49,226,798,81.23185638063818,379.24655147772086,0.1332560588014071,0.94091045849611,426,16,477,69,408,0.0001811028100976023,60,1.0,greedy,1,center
45,163,800,84.22618642629094,235.90870738209443,0.12595297483889537,0.8585554734383544,447,6,481,41,440,0.00019876310354471734,60,1.0,greedy,2,center
49,106,800,68.06315793611947,139.57094263489338,0.11501024894040997,0.7935839705384722,484,8,510,33,477,0.0001461507926681416,60,1.0,mincost,0,center
49,151,800,67.86615290885673,148.82861693103095,0.11718289114335431,0.8077041786775774,327,9,356,36,320,0.00017437203749263118,60,1.0,mincost,1,center
46,181,800,60.32904526984872,117.37451141884442,0.10282665775984948,0.8362786380833485,406,8,434,34,400,0.00014532065586237995,60,1.0,mincost,2,center
127,262,800,66.81497296827263,138.3838771016525,0.11602551567675176,0.6202371092172921,27,6,58,32,26,0.0007689378878106191,60,1.0,eqopt,0,center
106,235,800,80.19051377415248,195.2329335462547,0.135803949481911,0.7095443892295211,73,9,109,38,71,0.0004584641660085226,60,1.0,eqopt,1,center
102,335,800,55.59547072959092,111.99232133511723,0.10401949316059807,0.654894612841742,23,7,56,34,22,0.000509149229355281,60,1.0,eqopt,2,center
60,800,800,60.12485573078531,177.13256219734075,0.09500739700880488,1.0276371491356762,800,0,0,0,0,0.0,60,1.0,static,0,edge
87,800,800,57.67594276612304,151.7908088602096,0.08919425076307215,1.0226551732840876,800,0,0,0,0,0.0,60,1.0,static,1,edge
49,800,800,57.22280866041059,170.1777523907116,0.09522341408628801,0.9899982757721176,746,0,0,0,0,0.0,60,1.0,static,2,edge
32,37,406,32.48324575444229,51.18125365730209,0.09685330115885651,0.6294785184981662,31,6,56,27,29,0.0007519097858198429,60,1.0,random,0,edge
31,67,800,96.21909353527182,181.21813153898754,0.12844758428452518,0.5512009843014625,28,6,50,24,26,0.0014941923397420063,60,1.0,random,1,edge
38,44,800,61.09629677905884,95.16758280367945,0.09133066229602504,0.7083043366677566,24,3,41,19,22,0.0016007584295275469,60,1.0,random,2,edge
33,86,567,75.85762005824377,220.5208266134924,0.15137034656343124,0.7308760548579047,68,8,115,38,77,0.0012730703505107897,60,1.0,greedy,0,edge
37,121,511,66.9529431122316,215.25272331253518,0.16069527930892594,0.8755623916599143,255,12,317,68,249,0.0008139849906054112,60,1.0,greedy,1,edge
25,75,800,92.16424277810793,199.4582517633993,0.12455226347191957,0.552818050488683,51,6,78,33,45,0.0019132885043241388,60,1.0,greedy,2,edge
30,59,800,63.03705198957789,101.650233552064,0.08684908052417417,0.5368239729644246,207,6,233,31,202,0.00027285491825673833,60,1.0,mincost,0,edge
44,50,800,55.83997098618595,88.93431788272912,0.07821570345914623,0.5305871749341917,216,5,236,24,212,0.00022763619347296616,60,1.0,mincost,1,edge
25,83,800,72.94796318830407,141.4765184832721,0.11664049567878208,0.725207435273315,317,8,337,26,311,0.00017247489286575167,60,1.0,mincost,2,edge
61,161,284,21.94815397620152,42.21620209350679,0.12157873826081506,0.8390588083895872,108,7,137,31,106,0.0003957145827319094,60,1.0,eqopt,0,edge
76,99,800,78.68325659383959,155.98935977962486,0.11618338376839298,0.5872680815757871,71,6,91,23,68,0.0006628491343859073,60,1.0,eqopt,1,edge
86,105,800,94.24126238715145,228.72091767358907,0.14181976240320546,0.6548048372999602,72,8,99,33,66,0.0010331668821284494,60,1.0,eqopt,2,edge
52,800,800,68.63649642093817,235.9170014347343,0.10963118642890435,1.0760188754297315,800,0,0,0,0,0.0,60,1.0,static,0,corner
31,800,800,58.63460634896536,169.2703453596184,0.08853017333217172,1.0226723199887529,800,0,0,0,0,0.0,60,1.0,static,1,corner
25,800,800,69.6912706075156,203.69349623193543,0.11054492083450712,1.0132786233880904,749,0,0,0,0,0.0,60,1.0,static,2,corner
29,30,449,38.16731847040813,64.83960474880038,0.11720485876988049,0.7976653220248787,167,7,183,16,167,0.000150368811453755,60,1.0,random,0,corner
21,22,157,7.072442803392608,9.692409785551773,0.07874334120057096,0.7989755368472549,41,3,51,11,40,0.000529426022343935,60,1.0,random,1,corner
29,58,608,58.83103694724095,103.48585433301731,0.11074815981867928,0.6440631003037327,24,5,49,26,23,0.0014885608043440474,60,1.0,random,2,corner
21,22,800,48.27341187230973,70.85705637395957,0.07650006323741336,0.5627369506047029,290,4,300,14,286,0.00012632492604028594,60,1.0,greedy,0,corner
16,96,103,8.716584075099705,16.13530954933279,0.16104152293701537,0.8159036234551807,42,8,83,48,35,0.0018356318128079747,60,1.0,greedy,1,corner
13,31,800,48.44005861197611,69.12908030255997,0.08531351780010588,0.9349777911103149,661,2,671,13,658,7.036313694627782e-05,60,1.0,greedy,2,corner
26,27,800,44.337654663904374,63.09066892531562,0.058596302927459064,0.3532358599840162,73,3,84,14,70,0.0004417636339988263,60,1.0,mincost,0,corner
16,17,800,56.43493827891725,82.1192432993634,0.09034999180893047,0.5492361799628233,115,3,126,13,113,0.0002552452875694969,60,1.0,mincost,1,corner
17,18,800,48.18824666052803,67.9682722481558,0.06984613478281833,0.7044306652418219,41,4,57,19,38,0.0006456040135179508,60,1.0,mincost,2,corner
