FND,HND,LND,AUC_Psi,AUC_PsiN,Psi_max,Rh_mean,hole_events,partition_events,n_reconfigs,n_local,n_global,mean_dPsi_per_reconfig,N,E0,strategy,seed
97,800,800,39.04747783860655,87.70397254849743,0.0640345835833023,0.9626011907726257,756,0,0,0,0,0.0,60,1.0,static,0
98,800,800,39.62327640286725,89.52749426508726,0.06488120374879588,0.8506730536354375,628,0,0,0,0,0.0,60,1.0,static,1
92,800,800,37.04152252403288,78.59538628941965,0.05986586829574013,0.9265804913704783,737,0,0,0,0,0.0,60,1.0,static,2
129,800,800,40.70889157591215,87.03442280823391,0.06813279510728627,0.8679302157116477,548,0,0,0,0,0.0,60,1.0,static,3
169,800,800,41.43423187301439,86.21240613605032,0.06743487871384768,0.9069793359936544,800,0,0,0,0,0.0,60,1.0,static,4
52,129,568,59.325104160976146,135.0861625223294,0.1395242928251176,0.7294498167395532,51,8,79,29,50,0.00029971204317146173,60,1.0,random,0
47,114,406,48.144587933087955,128.49383974288926,0.15950546487241712,0.7627543040704167,59,10,101,41,60,0.0012080042347051673,60,1.0,random,1
86,87,800,63.79661358413689,128.42170886817712,0.11652290217280178,0.6766639597492601,36,5,57,22,35,0.00047222484486557066,60,1.0,random,2
88,254,800,103.1411018159925,332.3879722248274,0.1570978419911086,0.7659533468485082,54,16,203,58,145,0.0002962266958801216,60,1.0,random,3
86,351,619,69.89023688756527,284.03047018767705,0.1552060981532399,0.9420165358424353,280,16,334,63,271,0.0002567850070514443,60,1.0,random,4
44,184,800,98.06610351251413,348.18693242183815,0.14310462326941825,0.8906903612082879,353,15,415,74,341,0.00027733315785237684,60,1.0,greedy,0
49,226,798,81.23185638063818,379.24655147772086,0.1332560588014071,0.94091045849611,426,16,477,69,408,0.0001811028100976023,60,1.0,greedy,1
45,163,800,84.22618642629094,235.90870738209443,0.12595297483889537,0.8585554734383544,447,6,481,41,440,0.00019876310354471734,60,1.0,greedy,2
65,243,286,20.442016320509925,81.13283685695073,0.13184115271842395,0.9274447986582837,201,15,244,65,179,0.0003028098465118251,60,1.0,greedy,3
39,66,587,55.0604717942147,133.24113535644042,0.14257848266130357,0.8572635951589624,342,12,387,56,331,0.0003316591433328553,60,1.0,greedy,4
49,106,800,68.06315793611947,139.57094263489338,0.11501024894040997,0.7935839705384722,484,8,510,33,477,0.0001461507926681416,60,1.0,mincost,0
49,151,800,67.86615290885673,148.82861693103095,0.11718289114335431,0.8077041786775774,327,9,356,36,320,0.00017437203749263118,60,1.0,mincost,1
46,181,800,60.32904526984872,117.37451141884442,0.10282665775984948,0.8362786380833485,406,8,434,34,400,0.00014532065586237995,60,1.0,mincost,2
65,184,800,60.139945709687424,123.30362877386011,0.09855282699944241,0.6709900594100088,226,7,252,32,220,0.00021976018486735203,60,1.0,mincost,3
85,95,800,58.015759707892364,105.60943323389054,0.09222096652969242,0.7423560673264449,179,7,208,34,174,0.0003031373940065069,60,1.0,mincost,4
127,262,800,66.81497296827263,138.3838771016525,0.11602551567675176,0.6202371092172921,27,6,58,32,26,0.0007689378878106191,60,1.0,eqopt,0
106,235,800,80.19051377415248,195.2329335462547,0.135803949481911,0.7095443892295211,73,9,109,38,71,0.0004584641660085226,60,1.0,eqopt,1
102,335,800,55.59547072959092,111.99232133511723,0.10401949316059807,0.654894612841742,23,7,56,34,22,0.000509149229355281,60,1.0,eqopt,2
150,153,800,85.15239382383315,215.15925254955027,0.1429734400758125,0.6444477743077417,42,7,72,31,41,0.0010839099780783534,60,1.0,eqopt,3
87,167,800,65.44493753142517,132.14171143892858,0.10486512365935743,0.576370904047415,88,7,119,32,87,0.00047943027073563544,60,1.0,eqopt,4
