FND,HND,LND,AUC_Psi,AUC_PsiN,Psi_max,Rh_mean,hole_events,partition_events,n_reconfigs,n_local,n_global,mean_dPsi_per_reconfig,hole_rate,AUC_Psi_per_round,AUC_PsiN_per_round,null_with_alt_local,total_with_alt_local,null_with_alt_global,total_with_alt_global,N,E0,strategy,seed
97,2063,3000,101.87312387132772,5298.398689378833,0.0640345835833023,1.1878316038613153,2375,0,0,0,0,0.0,0.7916666666666666,0.03395770795710924,1.766132896459611,0,0,0,0,60,1.0,static,0
98,1849,3000,102.76955971895654,5883.486102670046,0.06488120374879588,1.2246760040635645,2289,0,0,0,0,0.0,0.763,0.034256519906318846,1.961162034223349,0,0,0,0,60,1.0,static,1
92,2180,3000,100.83128475155766,4018.6735412060257,0.05986586829574013,1.0506290033009933,2287,0,0,0,0,0.0,0.7623333333333333,0.03361042825051922,1.3395578470686753,0,0,0,0,60,1.0,static,2
129,2121,3000,121.82837697230586,4301.106095164626,0.06813279510728627,1.089130579892246,2186,0,0,0,0,0.0,0.7286666666666667,0.04060945899076862,1.4337020317215419,0,0,0,0,60,1.0,static,3
169,2064,3000,114.9972188458913,3916.678467057139,0.06743487871384768,1.051376165058464,2050,0,0,0,0,0.0,0.6833333333333333,0.038332406281963764,1.3055594890190465,0,0,0,0,60,1.0,static,4
121,2045,3000,102.61421069529294,5454.666241950022,0.06951500068399488,1.183460878320124,2349,0,0,0,0,0.0,0.783,0.03420473689843098,1.8182220806500071,0,0,0,0,60,1.0,static,5
170,1836,3000,104.32635615522989,9117.558367861362,0.07343943693360168,1.4869237654918614,2760,0,0,0,0,0.0,0.92,0.034775452051743296,3.039186122620454,0,0,0,0,60,1.0,static,6
103,1886,3000,108.33781695417873,4556.838038234528,0.051599001340471656,1.1394053540081082,1977,0,0,0,0,0.0,0.659,0.03611260565139291,1.5189460127448426,0,0,0,0,60,1.0,static,7
157,1870,3000,105.94706819292094,4685.530780298687,0.05554083213731923,1.1575137853073678,2336,0,0,0,0,0.0,0.7786666666666666,0.035315689397640314,1.5618435934328958,0,0,0,0,60,1.0,static,8
136,1834,3000,114.8850965160172,4889.828784253582,0.06269097599876218,1.179702796261214,2341,0,0,0,0,0.0,0.7803333333333333,0.038295032172005736,1.6299429280845272,0,0,0,0,60,1.0,static,9
107,1941,3000,107.32150398288628,5358.802943621524,0.05242971338393781,1.1990875539287225,2047,0,0,0,0,0.0,0.6823333333333333,0.035773834660962095,1.7862676478738413,0,0,0,0,60,1.0,static,10
95,1857,3000,92.4680127972687,9834.308946751185,0.06586917655931554,1.5168540950196048,2582,0,0,0,0,0.0,0.8606666666666667,0.0308226709324229,3.2781029822503953,0,0,0,0,60,1.0,static,11
92,1807,3000,117.92567727025111,6367.707608568697,0.06641781525333518,1.3178029071416657,2827,0,0,0,0,0.0,0.9423333333333334,0.039308559090083704,2.122569202856232,0,0,0,0,60,1.0,static,12
129,1780,3000,105.49506464996006,5276.118838441786,0.055452267676279206,1.20689620633206,2251,0,0,0,0,0.0,0.7503333333333333,0.035165021549986686,1.7587062794805952,0,0,0,0,60,1.0,static,13
132,1871,3000,121.47354793238937,5234.840991170334,0.07688713243162545,1.1838288518224984,2225,0,0,0,0,0.0,0.7416666666666667,0.04049118264412979,1.744946997056778,0,0,0,0,60,1.0,static,14
85,185,319,24.42541605633052,52.68992595819819,0.12195820197014864,0.6265464230598256,88,7,237,36,201,-9.558057729423875e-08,0.27586206896551724,0.07656870237094207,0.16517218168714165,0,33,78,201,60,1.0,random,0
101,207,738,74.17811252353074,182.83112459522633,0.12621716920906614,0.8183266567760665,551,7,647,35,612,1.1725829594483673e-06,0.7466124661246613,0.10051234759286008,0.2477386512130438,0,33,542,612,60,1.0,random,1
62,207,311,24.509897753549794,63.29474759875971,0.15286979467569736,0.6522776287108776,113,12,234,56,178,-4.0626105780692686e-06,0.3633440514469453,0.0788099606223466,0.20352008874199265,0,52,60,178,60,1.0,random,2
