FND,HND,LND,AUC_Psi,AUC_PsiN,Psi_max,Rh_mean,hole_events,partition_events,n_reconfigs,n_local,n_global,mean_dPsi_per_reconfig,N,E0,strategy,seed
97,2063,3000,101.87312387132772,5298.398689378833,0.0640345835833023,1.1878316038613153,2375,0,0,0,0,0.0,60,1.0,static,0
98,1849,3000,102.76955971895654,5883.486102670046,0.06488120374879588,1.2246760040635645,2289,0,0,0,0,0.0,60,1.0,static,1
92,2180,3000,100.83128475155766,4018.6735412060257,0.05986586829574013,1.0506290033009933,2287,0,0,0,0,0.0,60,1.0,static,2
129,2121,3000,121.82837697230586,4301.106095164626,0.06813279510728627,1.089130579892246,2186,0,0,0,0,0.0,60,1.0,static,3
169,2064,3000,114.9972188458913,3916.678467057139,0.06743487871384768,1.051376165058464,2050,0,0,0,0,0.0,60,1.0,static,4
121,2045,3000,102.61421069529294,5454.666241950022,0.06951500068399488,1.183460878320124,2349,0,0,0,0,0.0,60,1.0,static,5
170,1836,3000,104.32635615522989,9117.558367861362,0.07343943693360168,1.4869237654918614,2760,0,0,0,0,0.0,60,1.0,static,6
103,1886,3000,108.33781695417873,4556.838038234528,0.051599001340471656,1.1394053540081082,1977,0,0,0,0,0.0,60,1.0,static,7
157,1870,3000,105.94706819292094,4685.530780298687,0.05554083213731923,1.1575137853073678,2336,0,0,0,0,0.0,60,1.0,static,8
136,1834,3000,114.8850965160172,4889.828784253582,0.06269097599876218,1.179702796261214,2341,0,0,0,0,0.0,60,1.0,static,9
107,1941,3000,107.32150398288628,5358.802943621524,0.05242971338393781,1.1990875539287225,2047,0,0,0,0,0.0,60,1.0,static,10
95,1857,3000,92.4680127972687,9834.308946751185,0.06586917655931554,1.5168540950196048,2582,0,0,0,0,0.0,60,1.0,static,11
92,1807,3000,117.92567727025111,6367.707608568697,0.06641781525333518,1.3178029071416657,2827,0,0,0,0,0.0,60,1.0,static,12
129,1780,3000,105.49506464996006,5276.118838441786,0.055452267676279206,1.20689620633206,2251,0,0,0,0,0.0,60,1.0,static,13
132,1871,3000,121.47354793238937,5234.840991170334,0.07688713243162545,1.1838288518224984,2225,0,0,0,0,0.0,60,1.0,static,14
85,186,628,63.752901090283515,147.8663861945525,0.12813680094658522,0.5968776622945614,103,8,558,44,514,-1.5542726013879285e-06,60,1.0,random,0
101,189,278,17.78048849048703,35.03926455406887,0.11815558359197574,0.6067779495269651,40,8,187,40,147,-4.307351228657084e-07,60,1.0,random,1
62,254,584,54.71044472355611,148.61994471377142,0.12715579976159802,0.7266647852492208,333,12,466,52,414,-2.536234712201984e-06,60,1.0,random,2
88,158,561,46.33403948195466,92.84323848549062,0.11443267962174192,0.583482281890681,98,7,479,31,448,-1.8095987797948376e-06,60,1.0,random,3
85,231,343,23.482644805616573,49.84060113587248,0.1364729778280245,0.6255889465044964,89,13,238,55,183,-1.1407576779981695e-06,60,1.0,random,4
113,244,296,19.85195530406263,41.43208845992492,0.1275647930679977,0.6351804586051083,78,10,201,47,154,5.826771625907371e-06,60,1.0,random,5
111,234,238,11.953167411851734,19.55285159719929,0.1171447165215498,0.5871819371603707,31,5,127,19,108,-6.928140757661002e-06,60,1.0,random,6
67,199,202,13.193770556461665,27.016955219822567,0.15854684964858606,0.6221000340071697,52,12,159,55,104,-5.988799555877271e-06,60,1.0,random,7
141,327,1201,117.87338725888178,391.10459233281813,0.11903382644490773,0.6333548739162449,67,9,1029,37,992,-5.648243157108061e-07,60,1.0,random,8
129,279,279,14.111471983322456,28.430897349001302,0.12331751326123404,0.6131317401860826,42,10,153,49,104,1.7526537404118758e-06,60,1.0,random,9
71,163,2100,218.87556787000582,451.58362055329246,0.1144956758091589,0.484735536435467,18,7,2049,42,2007,-6.1772778490767e-07,60,1.0,random,10
82,259,297,18.106467563367545,34.42066691630053,0.1261246130650514,0.6405294165797967,64,10,191,54,137,1.1460739075255838e-06,60,1.0,random,11
110,199,296,18.947266408808083,36.798934547650106,0.11882459162681851,0.6659169826509237,113,9,199,47,152,7.76201036881375e-07,60,1.0,random,12
153,345,381,22.29643656321164,74.83246381682125,0.12632732522522666,0.6665991277654746,97,15,218,56,162,-1.2247026596633404e-05,60,1.0,random,13
138,232,304,14.623068403163535,26.505780142112897,0.10110253915413926,0.6120887739259938,37,8,152,40,112,2.063987550458144e-06,60,1.0,random,14
87,274,979,122.82144491746027,439.160275674763,0.15511887064411659,0.9305566287792082,893,13,981,56,925,-2.260603658439035e-07,60,1.0,greedy,0
98,310,3000,339.83163174165213,1264.497892304014,0.12350433942843594,0.7090924916485221,2867,12,2955,59,2896,-1.6170404283190179e-07,60,1.0,greedy,1
92,335,1241,138.10959833511893,562.2922145507663,0.14406104537634645,0.8062513286308354,1152,14,1249,68,1181,-7.347401502838694e-09,60,1.0,greedy,2
129,417,488,33.48689209813869,126.05425525639144,0.12617404546509434,0.7366379697981006,349,14,445,60,385,-1.7456148199310888e-06,60,1.0,greedy,3
147,300,432,37.5953248691613,128.31707600840767,0.15402786189259698,0.7597966639084012,238,15,356,71,285,6.524677337721539e-07,60,1.0,greedy,4
121,274,1004,111.20562010486343,363.5217204884775,0.14430548164532406,0.8271242608520211,900,9,1010,56,954,-3.139362973631626e-07,60,1.0,greedy,5
100,318,328,18.522940572097816,38.420274081215915,0.125840254899449,0.6523711845058314,154,11,280,42,238,-1.3503663959450692e-06,60,1.0,greedy,6
103,252,2046,211.14280627994466,749.2937320480481,0.13304346313271342,0.7475162420327465,1876,9,2002,51,1951,-6.235181762982445e-08,60,1.0,greedy,7
149,570,911,80.15495917815404,328.3834468553476,0.13582885806303607,0.759512488253297,721,16,907,61,846,-4.5101694212642485e-07,60,1.0,greedy,8
136,419,2416,276.78899193327004,1664.190186078893,0.13736260460286143,0.9233855573200956,2275,13,2358,52,2306,-1.2556162577071537e-07,60,1.0,greedy,9
107,281,1182,124.8967337842092,577.0259677287158,0.1347512835288259,0.8567100292636081,1016,13,1168,65,1103,-1.3671357110105441e-07,60,1.0,greedy,10
95,331,331,16.87935548399348,38.429758852225376,0.13206565726317088,0.6546695165837554,166,15,265,71,194,-2.189026508204991e-06,60,1.0,greedy,11
82,348,1807,242.51625653489276,984.9938432504329,0.15197096965051424,0.7824577641900413,1732,15,1786,54,1732,-6.733854233326412e-08,60,1.0,greedy,12
129,333,1256,132.86923767127465,736.6864225473794,0.1320409723279411,0.911290773435889,1144,15,1240,57,1183,-5.052664945304662e-07,60,1.0,greedy,13
132,258,1612,136.51142967363214,287.2345609393334,0.10259799304511046,0.5992945888355872,699,6,1561,30,1531,4.675811636712505e-08,60,1.0,greedy,14
97,230,3000,366.55559448201427,970.413424598541,0.18144178870051392,0.6752216099139661,1992,8,3014,33,2981,-4.1377399995930906e-10,60,1.0,mincost,0
98,316,3000,387.54029614202915,1193.5819560221057,0.18211829884719094,0.7000681834793856,2201,9,3015,36,2979,-4.885450220936803e-09,60,1.0,mincost,1
92,383,3000,339.48964143569174,939.0777240658113,0.17935995982332126,0.6623132636719108,1615,8,3017,34,2983,-4.1265006504800815e-09,60,1.0,mincost,2
129,385,3000,377.3626191381234,1245.070709197197,0.18459362057991616,0.6978783664469317,1941,8,3011,33,2978,-2.1212582976185318e-09,60,1.0,mincost,3
169,207,3000,344.7077812891367,908.6113609182828,0.1748906734243768,0.640831651216417,1310,8,3017,35,2982,-4.828407182649449e-09,60,1.0,mincost,4
121,303,3000,348.326607668878,873.0862174041955,0.17071462082363315,0.6253604263065351,1455,8,3019,37,2982,-3.9855321164269846e-09,60,1.0,mincost,5
170,268,3000,335.6941261359045,855.7756180170934,0.1456334168260867,0.6453767111092,952,10,3023,38,2985,-3.708427090100334e-09,60,1.0,mincost,6
103,146,3000,374.1997117852823,973.5961234500743,0.18065004971534102,0.660404773951176,1792,9,2756,37,2719,-2.7484376024361513e-09,60,1.0,mincost,7
157,728,3000,342.59700433975587,1296.329509626228,0.16957878881016303,0.7493350471010416,2623,10,3008,30,2978,0.0,60,1.0,mincost,8
136,302,3000,328.01411609174534,1061.2005405927146,0.16101049687957644,0.6651326404331876,1563,8,2859,31,2828,-2.4131709492344524e-09,60,1.0,mincost,9
107,236,3000,338.49361989450784,853.0525778048615,0.1697284555666014,0.6346397262883791,1274,8,2693,37,2656,-6.326195997994471e-09,60,1.0,mincost,10
95,282,3000,344.8789269180159,864.654558211181,0.15186554606444455,0.6497437869500201,994,11,3026,42,2984,0.0,60,1.0,mincost,11
92,239,3000,351.77671131992867,873.9569683331347,0.14808929229220527,0.6404897115481759,905,10,3025,40,2985,-2.6457717773448968e-09,60,1.0,mincost,12
129,467,3000,364.852951271495,1288.7433966224585,0.177499423231065,0.7253439313984543,2107,8,3009,31,2978,-1.4908803279336875e-09,60,1.0,mincost,13
132,311,3000,316.8798511138248,765.1788921016653,0.14346421491322536,0.5659662550911856,422,8,3024,38,2986,-3.8757241906385654e-09,60,1.0,mincost,14
129,230,1945,224.80608060216485,593.1584069104022,0.1662877644588755,0.6314843395915073,898,11,1672,42,1630,-2.2052723350184518e-07,60,1.0,eqopt,0
147,343,506,33.526917254060194,72.15681620129716,0.12154617882315089,0.6243530662254205,129,9,301,37,264,-3.0807209176340266e-06,60,1.0,eqopt,1
127,344,993,79.53988014093501,178.70100090308821,0.1204674423272876,0.5796751115804131,86,10,707,43,664,-1.0984667398909917e-06,60,1.0,eqopt,2
166,364,1027,84.7848914811944,201.41882638194625,0.11574770214855112,0.5808620849723887,66,8,776,38,738,-1.306062718603958e-06,60,1.0,eqopt,3
170,267,1281,107.44126381353075,232.13107712369631,0.1043940684130696,0.5001595414197554,9,5,1071,30,1041,-1.1299666907490436e-06,60,1.0,eqopt,4
146,315,517,31.51425948589886,59.90384119573331,0.10179007005779218,0.5458287487607698,8,6,332,39,293,-1.8752796822913961e-06,60,1.0,eqopt,5
169,269,581,37.89318178156767,76.66676632699277,0.10402572166881283,0.6628003588940959,213,8,407,32,375,-1.2666040992911121e-06,60,1.0,eqopt,6
