strategy,AUC_Psi_mean,AUC_Psi_std,HND_mean,HND_std,hole_events_mean,experiment
eqopt,60.604066046336115,8.909440123042522,268.3333333333333,142.36221408786813,31.444444444444443,A
greedy,77.30904708203359,31.498293343271726,210.77777777777777,70.0852655302414,385.3333333333333,A
mincost,62.70482278555874,8.838088350907366,177.22222222222223,107.23079988718,405.8888888888889,A
random,61.17043872388271,28.88673836897803,166.22222222222223,99.5951527156038,59.333333333333336,A
static,36.597664119393066,5.038057050059969,800.0,0.0,672.8888888888889,A
eqopt,87.99446738829367,69.70679065612114,310.22222222222223,199.18507585771692,55.333333333333336,B
greedy,131.3355188736693,122.53484523159679,226.33333333333334,158.03006043155207,405.55555555555554,B
mincost,94.227796750674,78.41752297754846,171.55555555555554,111.15767080043454,444.22222222222223,B
random,124.94449909371659,141.80609367124464,179.77777777777777,128.4180456339546,58.0,B
static,54.50113140865748,47.595493943939246,800.0,0.0,630.7777777777778,B
eqopt,70.63965776545487,11.935024655155932,230.4,74.11342658385186,50.6,E
greedy,67.80532688683357,30.705640537960633,176.4,69.50035971129934,353.8,E
mincost,62.88281230648094,4.727655567097318,143.4,41.416180412973866,324.4,E
random,68.85952887635176,20.7481068197348,187.0,111.89057154202047,96.0,E
static,39.57108004288664,1.691263935368016,800.0,0.0,693.8,E
HEED,7.474167905667534,1.182752598191859,800.0,0.0,87.66666666666667,F
LEACH,4.438082612771056,1.8187004192701828,800.0,0.0,0.6666666666666666,F
PEGASIS,10.105854598556348,2.0486639722829145,800.0,0.0,3.6666666666666665,F
eqopt,67.53365249067201,12.313261581843218,277.3333333333333,51.73329037798904,41.0,F
static,38.570758921835555,1.3552892558138845,800.0,0.0,707.0,F
